Date,shares_outstanding
2026-03-04,166800000.0
2026-03-05,166800000.0
2026-03-06,166800000.0
2026-03-09,166800000.0
2026-03-10,166800000.0
2026-03-11,166800000.0
2026-03-12,166800000.0
2026-03-13,166800000.0
2026-03-16,166800000.0
2026-03-17,166800000.0
2026-03-18,166800000.0
2026-03-19,166650000.0
2026-03-20,166650000.0
2026-03-23,166650000.0
2026-03-24,165600000.0
2026-03-25,165600000.0
2026-03-26,165600000.0
2026-03-27,165600000.0
2026-03-30,165600000.0
2026-03-31,165600000.0
2026-04-01,165600000.0
2026-04-02,165600000.0
2026-04-03,165600000.0
2026-04-06,165600000.0
2026-04-07,165600000.0
2026-04-08,165600000.0
2026-04-09,165600000.0
2026-04-10,165600000.0
2026-04-13,165600000.0
2026-04-14,165600000.0
2026-04-15,165600000.0
2026-04-16,165600000.0
2026-04-17,165150000.0
2026-04-20,165150000.0
2026-04-21,165150000.0
2026-04-22,165150000.0
2026-04-23,165150000.0
2026-04-24,165150000.0
2026-04-27,165150000.0
2026-04-28,165150000.0
2026-04-29,165150000.0
2026-04-30,165150000.0
2026-05-01,165150000.0
2026-05-04,165150000.0
2026-05-05,165150000.0
2026-05-06,164700000.0
2026-05-07,164700000.0
2026-05-08,164700000.0
2026-05-11,164400000.0
2026-05-12,164400000.0
2026-05-13,164400000.0
2026-05-14,164400000.0
2026-05-15,164400000.0
2026-05-18,129450000.0
2026-05-19,129450000.0
2026-05-20,129450000.0
2026-05-21,129450000.0
2026-05-22,129450000.0
2026-05-25,129450000.0
2026-05-26,129450000.0
2026-05-27,129450000.0
2026-05-28,129450000.0
2026-05-29,129450000.0
2026-06-01,129450000.0
2026-06-02,129450000.0
2026-06-03,129450000.0
2026-06-04,129450000.0
2026-06-05,129450000.0
2026-06-08,129450000.0
2026-06-09,129450000.0
2026-06-10,129450000.0
2026-06-11,129450000.0
2026-06-12,129450000.0
2026-06-15,129450000.0
2026-06-16,129450000.0
2026-06-17,129450000.0
2026-06-18,129450000.0
2026-06-19,129450000.0
2026-06-22,129450000.0
2026-06-23,129450000.0
2026-06-24,129450000.0
2026-06-25,129450000.0
2026-06-26,129450000.0
2026-06-29,129450000.0
2026-06-30,129450000.0
2026-07-01,129450000.0
2026-07-02,129450000.0
2026-07-03,129450000.0
2026-07-06,129450000.0
2026-07-07,129450000.0
2026-07-08,129450000.0
2026-07-09,129450000.0
2026-07-10,129450000.0
2026-07-13,129450000.0
2026-07-14,129450000.0
2026-07-15,129450000.0
2026-07-16,129450000.0
2026-07-20,129450000.0
2026-07-21,129450000.0
2026-07-22,129450000.0
2026-07-23,129450000.0
2026-07-24,129450000.0
2026-07-27,129450000.0
2026-07-28,129450000.0
2026-07-30,129450000.0
2026-07-31,129450000.0
2026-08-04,129450000.0
2026-08-07,129450000.0
2026-08-10,129450000.0
2026-08-11,129450000.0
2026-08-12,129450000.0
2026-08-14,129450000.0
2026-08-17,129450000.0
2026-08-18,129450000.0
2026-08-19,129450000.0
2026-08-24,129450000.0
2026-08-28,129450000.0
