Date,shares_outstanding
2026-03-04,341449984.0
2026-03-05,341449984.0
2026-03-06,341449984.0
2026-03-09,341449984.0
2026-03-10,341449984.0
2026-03-11,341449984.0
2026-03-12,341449984.0
2026-03-16,341449984.0
2026-03-17,341449984.0
2026-03-18,341449984.0
2026-03-19,341449984.0
2026-03-20,341449984.0
2026-03-23,341449984.0
2026-03-24,341449984.0
2026-03-25,341449984.0
2026-03-26,341449984.0
2026-03-27,341449984.0
2026-03-30,341449984.0
2026-03-31,341449984.0
2026-04-01,341449984.0
2026-04-02,341449984.0
2026-04-03,341449984.0
2026-04-06,341449984.0
2026-04-07,341449984.0
2026-04-08,341449984.0
2026-04-09,341449984.0
2026-04-10,341449984.0
2026-04-13,341449984.0
2026-04-14,341449984.0
2026-04-15,341449984.0
2026-04-16,341449984.0
2026-04-17,341449984.0
2026-04-20,341449984.0
2026-04-21,341449984.0
2026-04-22,341449984.0
2026-04-23,341449984.0
2026-04-24,341449984.0
2026-04-27,341449984.0
